,googl,msft,aapl
googl,9.893013477019854e-05,0.00010839851856811612,6.475791879815035e-05
msft,0.00010839851856811612,0.00017357464284776172,9.491913377060198e-05
aapl,6.475791879815035e-05,9.491913377060198e-05,7.664986275978212e-05
