,price
2020-12-21,216.76846313476562
2020-12-22,218.0831756591797
2020-12-23,215.23953247070312
2020-12-24,216.9242706298828
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,219.07647705078125
2020-12-29,218.28765869140625
2020-12-30,215.88226318359375
2020-12-31,
