,price
2020-12-22,218.0831756591797
2020-12-23,215.2395477294922
2020-12-24,216.9242706298828
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,219.07647705078125
2020-12-29,218.2876434326172
2020-12-30,215.88226318359375
2020-12-31,
