,price
2020-05-24,
2020-05-25,
2020-05-26,77.53453063964844
2020-05-27,77.87232971191406
2020-05-28,77.90660858154297
2020-05-29,77.83072662353516
2020-05-30,
2020-05-31,
2020-06-01,78.78789520263672
2020-06-02,79.15264129638672
2020-06-03,79.58837890625
2020-06-04,78.90294647216797
2020-06-05,81.15017700195312
2020-06-06,
2020-06-07,
2020-06-08,81.62996673583984
2020-06-09,84.20767974853516
2020-06-10,86.37413024902344
2020-06-11,82.22727966308594
2020-06-12,82.93718719482422
2020-06-13,
2020-06-14,
2020-06-15,83.96289825439453
2020-06-16,86.1880874633789
2020-06-17,86.0681381225586
2020-06-18,86.1024169921875
2020-06-19,85.61038970947266
2020-06-20,
2020-06-21,
2020-06-22,87.85027313232422
2020-06-23,89.72541046142578
2020-06-24,88.1415786743164
2020-06-25,89.31169128417969
2020-06-26,86.56755065917969
2020-06-27,
2020-06-28,
2020-06-29,88.5626220703125
2020-06-30,89.30189514160156
2020-07-01,89.13300323486328
2020-07-02,89.13300323486328
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,91.517333984375
2020-07-07,91.2333755493164
2020-07-08,93.35820007324219
2020-07-09,93.7596664428711
2020-07-10,93.9236831665039
2020-07-11,
2020-07-12,
2020-07-13,93.49039459228516
2020-07-14,95.03750610351562
2020-07-15,95.69111633300781
2020-07-16,94.5136489868164
2020-07-17,94.32270812988281
2020-07-18,
2020-07-19,
2020-07-20,96.31045532226562
2020-07-21,94.981201171875
2020-07-22,95.2480239868164
2020-07-23,90.91268157958984
2020-07-24,90.68746948242188
2020-07-25,
2020-07-26,
2020-07-27,92.83678436279297
2020-07-28,91.31171417236328
2020-07-29,93.06200408935547
2020-07-30,94.18809509277344
2020-07-31,104.04847717285156
2020-08-01,
2020-08-02,
2020-08-03,106.6702651977539
2020-08-04,107.38261413574219
2020-08-05,107.77183532714844
2020-08-06,111.53191375732422
2020-08-07,108.99615478515625
2020-08-08,
2020-08-09,
2020-08-10,110.58039093017578
2020-08-11,107.29173278808594
2020-08-12,110.8575210571289
2020-08-13,112.81941986083984
2020-08-14,112.7188720703125
2020-08-15,
2020-08-16,
2020-08-17,112.42459106445312
2020-08-18,113.36140441894531
2020-08-19,113.50362396240234
2020-08-20,116.02222442626953
