,price_aapl,log_yield_aapl,price_msft,log_yield_msft,price_googl,log_yield_googl,yt_predicted_googl,yt_predicted_msft,yt_predicted_aapl
2020-01-03,72.44145202636719,-0.0097698702918106,152.8522491455078,-0.012530025487228,68.07599639892578,-0.0052450742675691,-0.006120313450336,0.0026308845049669,0.0005828655664991
2020-01-06,73.01869201660156,0.0079367860410387,153.24734497070312,0.0025814868899018,69.8905029296875,0.0263050982464196,0.0041760554048971,0.0089762340086045,0.0070909565210972
2020-01-07,72.67527770996094,-0.0047141956977071,151.85008239746094,-0.0091595157264675,69.75550079345703,-0.0019334914668329,-0.0016145207598635,-0.0055739177258799,-0.0016538867942988
2020-01-08,73.84434509277344,0.0159581654688829,154.268798828125,0.0158027937115828,70.25199890136719,0.0070924799068699,-0.0012184605698186,-0.0021469533573166,-0.0023224071583984
2020-01-09,75.41284942626953,0.0210182441236296,156.19610595703125,0.0124157794150424,70.989501953125,0.0104432443728015,-9.07601275206612e-05,0.0049104702694639,0.00411003819926
2020-01-10,75.58334350585938,0.0022582576253771,155.4733123779297,-0.0046382149314036,71.447998046875,0.0064378787514355,0.0021485416561219,-0.0018668348543298,-0.0029558751731237
2020-01-13,77.1981430053711,0.0211394674928281,157.34280395507812,0.0119527974246804,72.00150299072266,0.0077171086240562,0.0050068097437733,0.007748489297069,0.005425273396108
2020-01-14,76.15571594238281,-0.0135952642624004,156.23464965820312,-0.0070678481326243,71.52950286865234,-0.0065770015430947,0.0008929241976556,-0.0001322316076078,0.0051406719055763
2020-01-15,75.829345703125,-0.0042947739387626,157.24642944335938,0.0064551474772803,71.95999908447266,0.0060004042333751,-0.0006092398907069,-0.0064723550207224,0.0002750097592084
2020-01-16,76.77923583984375,0.0124488727235824,160.12774658203125,0.0181577237266995,72.50800323486328,0.007586548854946,-0.0083919010326094,-0.0020845853186693,-0.0008472466056075
2020-01-17,77.62923431396484,0.011009850164718,161.02391052246094,0.0055809537125221,73.97599792480469,0.0200437430085066,-0.0051670548731887,0.0024205301356255,0.0021624445971884
2020-01-21,77.10315704345703,-0.0067998599770702,160.44573974609375,-0.0035970512257438,74.11250305175781,0.0018435619877957,0.0002830408465332,0.0034767486605793,0.0047572647255596
2020-01-22,77.37837982177734,0.0035631839907506,159.67478942871094,-0.0048166345961723,74.19349670410156,0.0010922506241053,-0.0010403382742858,-0.0019066660120118,0.0018918182832223
2020-01-23,77.75103759765625,0.0048044851701048,160.65769958496094,0.0061368314155805,74.2344970703125,0.0005524613815919,0.0042755624701775,0.0110644973969914,0.0018450919593537
2020-01-24,77.52694702148438,-0.0028863168503005,159.03883361816406,-0.0101276031215403,73.30850219726562,-0.012552368273315,0.0066378458562191,0.0123784720824277,0.0085675674378888
2020-01-27,75.24725341796875,-0.029846175893593,156.37918090820312,-0.0168647041385325,71.58650207519531,-0.0237700562513423,0.0018664780235329,-0.0012665044117426,-0.0029570863234293
2020-01-28,77.37594604492188,0.0278965541479533,159.4435577392578,0.0194062847718153,72.5250015258789,0.0130248133549235,-0.0053962562136915,-0.0028918173687375,-0.0010429765144663
2020-01-29,78.99560546875,0.0207162662601041,161.9296875,0.0154722236124473,72.83499908447266,0.0042652452842109,0.0018622067040943,-0.0067589880432922,0.0004741183585838
2020-01-30,78.8811264038086,-0.0014502337823659,166.49732971191406,0.0278170582883229,72.7125015258789,-0.0016832661090519,0.009111306894514,0.0154873483870884,0.0158116015630751
2020-01-31,75.3836441040039,-0.0453516603741346,164.0401153564453,-0.0148682677805571,71.63899993896484,-0.0148737126611721,-0.0109917488320179,-0.0070625521534732,0.0041134807321269
2020-02-03,75.17660522460938,-0.0027502479680913,168.0391845703125,0.0240861899515936,74.12999725341797,0.0341806540569385,0.0145498038770674,-0.0080506170136313,-0.0043717267585926
2020-02-04,77.65848541259766,0.0324807394965834,173.57044982910156,0.032386374162108,72.27050018310547,-0.0254042453131046,0.0028481993578379,0.0027018395608383,0.0003046241125476
2020-02-05,78.29170989990234,0.0081208999588144,173.35848999023438,-0.0012219209233482,72.30249786376953,0.0004426508631461,-0.0034788231599006,-0.0045900790048868,0.0010444760627914
2020-02-06,79.20750427246094,0.0116293239739651,176.95285034179688,0.0205216679026337,73.79850006103516,0.0204797298558813,0.0006018318514816,-0.0014305937866266,0.0053337634033149
2020-02-07,78.13085174560547,-0.0136860376514314,177.20335388183594,0.0014146502522218,73.95549774169922,0.0021251234089662,-0.0051469375735101,-0.0101748374109688,0.0017322816111436
2020-02-10,78.50194549560547,0.0047384002694938,181.8384704589844,0.0258208029524391,75.43299865722656,0.0197812968151628,0.0004353752966638,0.0124448225553019,0.0038050696096354
2020-02-11,78.0283203125,-0.0060515661436202,177.73338317871094,-0.022834187955935,75.50299835205078,0.000927541490828,-0.0006529786279827,0.0027664737449678,-0.0023338684708325
2020-02-12,79.88133239746094,0.0234703466756005,177.9935760498047,0.0014628799462345,75.93150329589844,0.0056592927351314,0.0010533219982692,0.0049941800460312,0.0029375365709275
2020-02-13,79.31248474121094,-0.0071466353103604,177.02992248535156,-0.0054286881575625,75.66950225830078,-0.0034564585833187,-0.004866551210997,-0.0043898091005428,-2.6733798459546012e-05
2020-02-14,79.33200073242188,0.0002460342854164,178.61029052734375,0.0088875126414101,75.9365005493164,0.0035222690673344,-0.0093203082555288,-0.00937691607069,0.0041043159366169
2020-02-18,77.87940216064453,-0.0184800833142636,180.4219512939453,0.01009199693941,75.97200012207031,0.0004673809989991,-0.0096784107762236,-0.0077655920225501,-0.0045364217131398
2020-02-19,79.0073013305664,0.0143787660447426,180.96307373046875,0.0029947164573318,76.24349975585938,0.0035673097933558,-0.003519571269731,0.0013881180756514,0.0045899832647073
2020-02-20,78.19676971435547,-0.0103119314047871,178.19952392578125,-0.0153891544529457,75.84950256347656,-0.0051810151382424,-0.0070220183946672,0.0072859772687028,-0.0012785641983019
2020-02-21,76.42679595947266,-0.0228949715634408,172.566162109375,-0.0321231320649932,74.1729965209961,-0.0223509919649818,0.0145821799841925,0.0215590118190301,0.0143877646911549
