,aapl,msft,googl,portfolio_value
2020-01-02,73.15266418457031,154.779541015625,68.43399810791016,69.65216894226074
2020-01-03,72.44145202636719,152.8522491455078,68.07599639892578,69.20298242370606
2020-01-06,73.01869201660156,153.24734497070312,69.8905029296875,70.69807622436524
2020-01-07,72.67527770996094,151.85008239746094,69.75550079345703,70.50927040222169
2020-01-08,73.84434509277344,154.268798828125,70.25199890136719,71.17939899414063
2020-01-09,75.41284942626953,156.19610595703125,70.989501953125,72.13143333679199
2020-01-10,75.58334350585938,155.4733123779297,71.447998046875,72.51557883056641
2020-01-13,77.1981430053711,157.34280395507812,72.00150299072266,73.3430675769043
2020-01-14,76.15571594238281,156.23464965820312,71.52950286865234,72.7238060357666
2020-01-15,75.829345703125,157.24642944335938,71.95999908447266,72.95890960754394
2020-01-16,76.77923583984375,160.12774658203125,72.50800323486328,73.61066464416504
2020-01-17,77.62923431396484,161.02391052246094,73.97599792480469,74.91911743103027
2020-01-21,77.10315704345703,160.44573974609375,74.11250305175781,74.88457028625488
2020-01-22,77.37837982177734,159.67478942871094,74.19349670410156,75.01570612976074
2020-01-23,77.75103759765625,160.65769958496094,74.2344970703125,75.14232717285157
2020-01-24,77.52694702148438,159.03883361816406,73.30850219726562,74.39753591308593
2020-01-27,75.24725341796875,156.37918090820312,71.58650207519531,72.53156164184571
2020-01-28,77.37594604492188,159.4435577392578,72.5250015258789,73.77732136291505
2020-01-29,78.99560546875,161.9296875,72.83499908447266,74.4254212286377
2020-01-30,78.8811264038086,166.49732971191406,72.7125015258789,74.30499372436523
2020-01-31,75.3836441040039,164.0401153564453,71.63899993896484,72.60571727661133
2020-02-03,75.17660522460938,168.0391845703125,74.12999725341797,74.40018956726075
2020-02-04,77.65848541259766,173.57044982910156,72.27050018310547,73.66146244995117
2020-02-05,78.29170989990234,173.35848999023438,72.30249786376953,73.84867284301758
2020-02-06,79.20750427246094,176.95285034179688,73.79850006103516,75.19488858825684
2020-02-07,78.13085174560547,177.20335388183594,73.95549774169922,75.03340713134766
2020-02-10,78.50194549560547,181.8384704589844,75.43299865722656,76.22527797302247
2020-02-11,78.0283203125,177.73338317871094,75.50299835205078,76.15493546936037
2020-02-12,79.88133239746094,177.9935760498047,75.93150329589844,76.95119117675782
2020-02-13,79.31248474121094,177.02992248535156,75.66950225830078,76.60997461608886
2020-02-14,79.33200073242188,178.61029052734375,75.9365005493164,76.81308287658692
2020-02-18,77.87940216064453,180.4219512939453,75.97200012207031,76.46441503234864
2020-02-19,79.0073013305664,180.96307373046875,76.24349975585938,76.95700277038574
2020-02-20,78.19676971435547,178.19952392578125,75.84950256347656,76.45547305114746
2020-02-21,76.42679595947266,172.566162109375,74.1729965209961,74.75483738403321
2020-02-24,72.7964859008789,165.12588500976562,70.99299621582031,71.45858511291505
2020-02-25,70.33072662353516,162.40103149414062,69.31600189208984,69.57796322875977
2020-02-26,71.44641876220703,164.43017578125,69.52349853515625,70.01991962097168
2020-02-27,66.7761001586914,152.84458923339844,65.74749755859375,66.01304160583496
2020-02-28,66.73702239990234,156.54539489746094,66.9625015258789,66.9042918347168
2020-03-02,72.9502944946289,166.96177673339844,69.31600189208984,70.25423087036133
2020-03-03,70.6334457397461,158.96107482910156,66.88600158691406,67.85344176940919
2020-03-04,73.90973663330078,164.79737854003906,69.08000183105469,70.32684616760254
2020-03-05,71.51233673095703,160.6616973876953,65.73799896240234,67.22870200073243
2020-03-06,70.5626449584961,156.1202850341797,64.78700256347656,66.27804240417481
2020-03-09,64.98169708251953,145.5395965576172,60.78950119018555,61.87175848175049
2020-03-10,69.6617660522461,155.49215698242188,63.75849914550781,65.28248653015137
2020-03-11,67.24237823486328,148.44808959960938,60.54499816894531,62.2739938067627
2020-03-12,60.60189437866211,134.3695068359375,55.57749938964844,56.87459720001221
2020-03-13,67.86248779296875,153.47268676757812,60.7135009765625,62.55908341308594
2020-03-16,59.1321907043457,130.852294921875,53.650001525878906,55.065283484191895
2020-03-17,61.73224258422852,141.62620544433594,55.90299987792969,57.407877174987796
2020-03-18,60.22103500366211,135.66429138183594,54.55950164794922,56.02108309906006
2020-03-19,59.75962066650391,137.89642333984375,55.58349990844727,56.66160724334718
2020-03-20,55.96574401855469,132.71717834472656,53.41049957275391,54.07016147888184
2020-03-23,54.77680587768555,131.3933868408203,52.70650100708008,53.24097091247559
2020-03-24,60.272308349609375,143.33651733398438,56.5004997253418,57.47422983978272
2020-03-25,59.94028472900391,141.96441650390625,55.08100128173828,56.33547389648438
2020-03-26,63.09452438354492,150.84439086914062,58.14599990844727,59.42351098693848
2020-03-27,60.48226165771485,144.650634765625,55.51300048828125,56.795864951782235
2020-03-30,62.208309173583984,154.82542419433594,57.31549835205078,58.5786263937378
2020-03-31,62.081356048583984,152.39044189453125,58.09749984741211,59.125972164306646
2020-04-01,58.8148193359375,146.9793243408203,55.10499954223633,56.062726620178225
2020-04-02,59.79624176025391,150.0230712890625,55.85150146484375,56.869875619506836
2020-04-03,58.9368896484375,148.64129638671875,54.6349983215332,55.74557458648682
2020-04-06,64.0783920288086,159.69541931152344,59.15950012207031,60.42936125671387
2020-04-07,63.33621597290039,157.97549438476562,59.12799835205078,60.21439181304932
2020-04-08,64.957275390625,159.5601806640625,60.34999847412109,61.539413082885744
2020-04-09,65.426025390625,159.56985473632812,60.32849884033203,61.64447629455567
2020-04-13,66.71017456054688,159.92733764648438,60.52050018310547,62.11842652038574
2020-04-14,70.07923889160156,167.84107971191406,63.26150131225586,65.02156844573975
2020-04-15,69.43963623046875,166.08248901367188,62.8650016784668,64.56230933441162
2020-04-16,69.99137115478516,171.06842041015625,62.87149810791016,64.70956453369142
2020-04-17,69.04166412353516,172.57582092285156,63.95000076293945,65.26446457611084
2020-04-20,67.60858917236328,169.1552276611328,63.057498931884766,64.23240838836671
2020-04-21,65.518798828125,162.159423828125,60.608001708984375,61.87577309326172
2020-04-22,67.40596008300781,167.6671600341797,62.920501708984375,64.07846764282226
2020-04-23,67.14472961425781,165.6379852294922,63.55849838256836,64.48431983734132
2020-04-24,69.08317565917969,168.6624298095703,63.83000183105469,65.18616118652345
2020-04-27,69.13201904296875,168.1792755126953,63.542999267578125,64.98586061279298
2020-04-28,68.01141357421875,164.08233642578125,61.62950134277344,63.277055804443364
2020-04-29,70.24526977539062,171.44528198242188,67.10900115966797,67.91866026550292
