,price,log_yield,rolling_std
2018-01-02,53.59898376464844,,
2018-01-03,54.51343536376953,0.0169170834419143,
2018-01-04,54.725189208984375,0.0038769091293881,
2018-01-05,55.45085906982422,0.0131731055157631,
2018-01-08,55.64663314819336,0.0035243690403071,
2018-01-09,55.575714111328125,-0.0012752661353402,0.007524521305319278
2018-01-10,55.44336700439453,-0.0023842238342761,0.006145535200116132
2018-01-11,55.538761138916016,0.0017190904447475,0.0061778582925537335
2018-01-12,56.46769332885742,0.0165874992387176,0.007612357580854588
2018-01-16,56.47018814086914,4.418025165093678e-05,0.007782134033304297
2018-01-17,56.88970947265625,0.0074016165481696,0.007572261890384379
2018-01-18,56.7333869934082,-0.0027515986228209,0.007659150228862576
2018-01-19,57.10945510864258,0.0066068182459028,0.007509968235103424
2018-01-22,58.14127349853516,0.0179061073440372,0.008000385712654655
2018-01-23,58.74108123779297,0.0102635338913273,0.007434457846026312
2018-01-24,58.49736022949219,-0.004157703844246,0.009208161647632895
2018-01-25,59.03923797607422,0.0092206443621151,0.007976372620744129
2018-01-26,59.30992889404297,0.0045744536638281,0.008113674148941229
2018-01-29,59.2559928894043,-0.0009098062503596,0.006270321837165358
2018-01-30,58.8010139465332,-0.0077078219685132,0.006768727583883001
2018-01-31,59.043235778808594,0.0041108865974635,0.0064387275793490305
2018-02-01,59.01177215576172,-0.0005330332756281,0.004957421243804971
2018-02-02,55.89584732055664,-0.0542468623113828,0.02406845851075208
2018-02-05,53.0586051940918,-0.0520930287243046,0.02868920426415433
2018-02-06,54.15934371948242,0.0205334500604955,0.03443437116924453
2018-02-07,52.71000671386719,-0.0271251928504116,0.032554732218429076
2018-02-08,50.32773971557617,-0.0462489077481619,0.031165192425263357
2018-02-09,52.2535285949707,0.0375510109901398,0.04034859786229341
2018-02-12,52.66755294799805,0.0078921508610358,0.034488331469778484
2018-02-13,52.64657974243164,-0.0003982980310026,0.03235255606863669
2018-02-14,53.57351303100586,0.0174535117574275,0.031077727605686948
2018-02-15,54.50544357299805,0.0172457926844389,0.014166325181013463
2018-02-16,54.71220779418945,0.0037862829975987,0.00800001996801864
2018-02-20,55.11624526977539,0.0073576434343518,0.008025327889410376
2018-02-21,55.623661041259766,0.0091641638416999,0.006110083838746781
2018-02-22,55.43138122558594,-0.0034627875309927,0.0075733159857167085
2018-02-23,56.339839935302734,0.0162560398979185,0.007238140446417099
2018-02-26,57.11944580078125,0.0137426942217345,0.007622895732091703
2018-02-27,55.81144714355469,-0.0231656213274314,0.016235120896599356
2018-02-28,55.13272476196289,-0.0122355386037904,0.016850425736524996
2018-03-01,53.50908660888672,-0.0298919730487577,0.02111791910091343
2018-03-02,54.14485931396485,0.0118115521199842,0.019952587895207586
2018-03-05,54.67524719238281,0.0097480529183062,0.01892021059009617
2018-03-06,54.981895446777344,0.0055928696726641,0.017777834526093803
2018-03-07,55.688087463378906,0.0127622971136895,0.01804253634929116
2018-03-08,56.40426635742188,0.0127785458165916,0.003027697406999082
2018-03-09,57.97546005249024,0.0274750181917694,0.008258614236036226
2018-03-12,58.22967147827149,0.0043752255680052,0.009193355257589747
2018-03-13,56.93016052246094,-0.0225697814327524,0.018487002584055917
2018-03-14,57.37864685058594,0.0078469654214738,0.01823051635218127
2018-03-15,57.46454620361328,0.0014959418449101,0.017873590760237857
2018-03-16,56.65597534179688,-0.0141707097288809,0.013106806997252378
2018-03-19,54.94044876098633,-0.0307476113075733,0.01614976480137028
2018-03-20,54.72719192504883,-0.0038891527784295,0.015113507455524198
2018-03-21,54.63729476928711,-0.001643992098827,0.01310498005845443
2018-03-22,52.59713745117188,-0.0380550067755363,0.016167538725826606
2018-03-23,51.26865768432617,-0.0255820930377752,0.016348969813898242
2018-03-26,52.64407730102539,0.0264741361993198,0.024782774237740824
2018-03-27,50.289283752441406,-0.0457617326070629,0.02945323914602565
2018-03-28,50.20138168334961,-0.0017494578452643,0.029439604332272266
2018-03-29,51.797550201416016,0.0313003048464932,0.033110783146744725
2018-04-02,50.57345581054688,-0.0239160048138665,0.032834743381183466
2018-04-03,50.8756103515625,0.0059567908488592,0.029371948181784718
2018-04-04,51.42647933959961,0.0107695612865192,0.020038757307440012
2018-04-05,51.57281112670898,0.002841415409745,0.019785992706009566
2018-04-06,50.43961334228516,-0.0222177720982016,0.01646203633803757
2018-04-09,50.94602966308594,0.0099899851195765,0.013621624222220675
2018-04-10,51.76559066772461,0.0159588252238985,0.015099845178115686
2018-04-11,51.194244384765625,-0.0110985443481938,0.01561463681142567
2018-04-12,51.8050422668457,0.0118603742204534,0.01664273334474868
2018-04-13,51.74261474609375,-0.0012057738459058,0.011064405964321216
2018-04-16,52.24504089355469,0.0096632634714389,0.011029222807904379
2018-04-17,53.906131744384766,0.031299257723538,0.015890022253132657
2018-04-18,53.70785903930664,-0.0036848913043134,0.013867437096168202
2018-04-19,54.41005325317383,0.0129895976044175,0.013922813190458598
2018-04-20,53.80424880981445,-0.0111965010265124,0.016396551212774488
2018-04-23,53.62894821166992,-0.0032634373468206,0.01703864172261291
2018-04-24,51.07338333129883,-0.0488255134980254,0.023018830977390964
2018-04-25,51.09086608886719,0.0003422480532718,0.023397204169535796
2018-04-26,52.10569763183594,0.0196685668982119,0.025161345573861845
2018-04-27,51.51337814331055,-0.0114327586078162,0.025167532807905256
2018-04-30,50.8706169128418,-0.012556057704435,0.025008102407411945
2018-05-01,51.97784423828125,0.0215320694421212,0.01641137688648087
2018-05-02,51.243690490722656,-0.0142250573826477,0.01829899724077151
