,price,log_yield,rolling_std,yield
2018-01-02,79.79292297363281,,,
2018-01-03,80.16424560546875,0.0046427840919689,,0.00465357851295467
2018-01-04,80.86981964111328,0.0087630967988528,,0.008801605133503587
2018-01-05,81.87245178222656,0.0123218733276255,,0.012398100373696819
2018-01-08,81.95600128173828,0.0010199633237374,,0.0010204836632223824
2018-01-09,81.90030670166016,-0.0006797978412718,0.0053798474586383,-0.0006795668310690672
2018-01-10,81.52896881103516,-0.0045443330578352,0.0069602719429902,-0.004534023199420756
2018-01-11,81.77031707763672,0.0029559032180341,0.0062887672925295,0.002960276207601087
2018-01-12,83.18143463134766,0.0171098756340307,0.0082662034637293,0.01725708795247982
2018-01-16,82.02100372314453,-0.0140488240468352,0.0114000223600836,-0.013950599834518962
2018-01-17,83.68275451660156,0.0200575596078327,0.01439706205854,0.020260064105849462
2018-01-18,83.6456298828125,-0.0004437338534219,0.0138741655594171,-0.00044363541811587304
2018-01-19,83.55279541015625,-0.0011104707718801,0.0141496317766547,-0.0011098544273778765
2018-01-22,85.0474624633789,0.0177307701622918,0.0142920248143406,0.017888893434210296
2018-01-23,85.31668853759766,0.0031605980102463,0.0102190568342572,0.003165597966366951
2018-01-24,85.2424087524414,-0.0008710152789572,0.0080367682659329,-0.0008706360552603876
2018-01-25,85.71587371826172,0.0055389673957356,0.0077053928282005,0.005554335837638424
2018-01-26,87.32194519042969,0.0185637753052175,0.0088183425082511,0.018737153370762316
2018-01-29,87.19197082519531,-0.0014895590246779,0.0081275948461127,-0.0014884501822644003
2018-01-30,86.09651947021484,-0.012643262637811,0.0114189036253748,-0.012563672372730927
2018-01-31,88.20391082763672,0.0241823161341352,0.0149069961967766,0.024477079565927484
2018-02-01,87.50762176513672,-0.0079254070217847,0.0163453631559295,-0.007894083787969963
2018-02-02,85.20527648925781,-0.0266625329146083,0.0187091619704503,-0.02631022566306529
2018-02-05,81.69605255126953,-0.0420576782299865,0.0246952150582522,-0.04118552374430362
2018-02-06,84.78754425048828,0.0371429638580352,0.033391588242388,0.03784138404090753
2018-02-07,83.19072723388672,-0.0190127580705917,0.029995104068895,-0.01883315563290855
2018-02-08,78.92024230957031,-0.0526981386315609,0.0348720137453891,-0.051333665016656815
2018-02-09,81.8631820678711,0.0366115909128202,0.0427411133284236,0.03729004970305194
2018-02-12,82.74510955810547,0.0107155711335976,0.0385384581190039,0.010773188482988472
2018-02-13,83.39496612548828,0.007823035820443,0.0339122373887149,0.00785371571629212
2018-02-14,84.7007827758789,0.0155368940257212,0.0334297784417092,0.01565821908753695
2018-02-15,86.42631530761719,0.0201673613947887,0.0113318483543056,0.020372096634621473
2018-02-16,85.81072235107422,-0.0071482369433416,0.0103881836508916,-0.007122749064933376
2018-02-20,86.4822998046875,0.007795798650898,0.0103791337842019,0.007826265007602196
2018-02-21,85.33503723144531,-0.0133546432954595,0.0144270735623127,-0.013265865683881883
2018-02-22,85.55890655517578,0.0026199811044077,0.0130717510319005,0.0026234162542555506
2018-02-23,87.73213195800781,0.0250831129290317,0.014843087978055,0.025400341008689153
2018-02-26,89.00066375732422,0.0143556104502497,0.0142722057431256,0.014459147076507639
2018-02-27,87.86272430419922,-0.012868182252766,0.0168514984964613,-0.012785741196580158
2018-02-28,87.46163940429688,-0.0045753549718547,0.015061981131045,-0.004564903980369461
2018-03-01,86.6035385131836,-0.0098596152641752,0.0165039971689338,-0.009811168610122434
2018-03-02,86.79008483886719,0.0021517100116004,0.0108528730102789,0.002154026600832193
2018-03-05,87.34037780761719,0.0063204885846732,0.0080217433857762,0.006340505021646958
2018-03-06,87.04193115234375,-0.0034229039452857,0.0062614377019211,-0.003417052487805994
2018-03-07,87.54560852050781,0.0057699279854553,0.0068303480181241,0.005786606081642498
2018-03-08,88.07726287841797,0.0060545187281602,0.0041623112509978,0.006072884373013565
2018-03-09,90.0453109741211,0.022098582379594,0.0092033952622564,0.022344564662730493
2018-03-12,90.2598114013672,0.0023793059854584,0.0094797491954535,0.0023821387801943317
2018-03-13,88.0586166381836,-0.0246896139981853,0.0169304731722705,-0.024387318442261496
2018-03-14,87.53627014160156,-0.0059494675148642,0.0171437784953698,-0.005931804478921721
2018-03-15,87.84407043457031,0.0035100924993644,0.0169550635922886,0.0035162600881992745
2018-03-16,88.23580932617188,0.0044495661680186,0.0122508646592015,0.004459480186466802
2018-03-19,86.64085388183594,-0.0182414238876277,0.0129897940466895,-0.018076056155840736
2018-03-20,86.86470794677734,0.002580369030128,0.0096131964760616,0.0025837010476224
2018-03-21,86.2584457397461,-0.0070038544517818,0.0097125220219951,-0.006979384624221763
2018-03-22,83.7493896484375,-0.0295190898389357,0.0143520200022158,-0.029087657095964503
2018-03-23,81.31497955322266,-0.0294986329698725,0.0141031677383493,-0.029067795066137103
2018-03-26,87.47097778320312,0.0729768059381944,0.0421446526078218,0.07570558664349436
2018-03-27,83.450927734375,-0.0470482885726907,0.0474559399901688,-0.04595867281593469
2018-03-28,83.37629699707031,-0.0008947069928582,0.047567112888738,-0.0008943068618989525
2018-03-29,85.12983703613281,0.0208135252983686,0.0468771594958518,0.02103163731442903
2018-04-02,82.56485748291016,-0.0305934498063523,0.0470706436188425,-0.030130206312200092
2018-04-03,83.67478942871094,0.0133535947630012,0.0290176457177954,0.013443152203472586
2018-04-04,86.11851501464844,0.0287866985797018,0.0233395449837099,0.029205040163495122
2018-04-05,86.1651611328125,0.0005415036449994,0.0232375832342559,0.0005416502845656535
2018-04-06,84.15980529785156,-0.0235484972706355,0.0248571399257624,-0.023273395054295043
