,price,log_yield,yield
2018-01-02,40.61589050292969,,
2018-01-03,40.60881423950195,-0.0001742391915877,-0.0001742240128214112
2018-01-04,40.79743957519531,0.0046341813908639,0.004644935815679929
2018-01-05,41.26194381713867,0.0113212940211853,0.011385622401308249
2018-01-08,41.10868453979492,-0.00372121609984,-0.0037143009554506667
2018-01-09,41.103965759277344,-0.0001147945116863,-0.00011478792304853158
2018-01-10,41.09451675415039,-0.0002299070464477,-0.00022988061984796637
2018-01-11,41.32794952392578,0.0056643147056019,0.005680387268498954
2018-01-12,41.75471878051758,0.0102734545933111,0.010326407709744467
2018-01-16,41.542510986328125,-0.0050952055399496,-0.005082246998355244
2018-01-17,42.228633880615234,0.016381254869439,0.016516163274601148
2018-01-18,42.266361236572266,0.0008930081222418,0.0008934069727117855
2018-01-19,42.07773208618164,-0.0044728553581523,-0.004462867038277474
2018-01-22,41.733489990234375,-0.008214747936238,-0.008181099096362998
2018-01-23,41.74292755126953,0.0002261132270242,0.00022613879254684832
2018-01-24,41.07801818847656,-0.0160568958150985,-0.01592867107790452
2018-01-25,40.34473419189453,-0.0180122582614895,-0.01785100715466692
2018-01-26,40.43905258178711,0.0023350832268762,0.0023378116570049734
2018-01-29,39.60202407836914,-0.0209157360834299,-0.020698519128881543
2018-01-30,39.36859893798828,-0.0059117127681947,-0.005894272977535975
2018-01-31,39.47705841064453,0.0027511861709188,0.002754974156613743
2018-02-01,39.5595817565918,0.0020882308701634,0.002090412742733916
2018-02-02,37.84308242797852,-0.0443597339380167,-0.0433902294310089
2018-02-05,36.89759826660156,-0.0253017390769899,-0.024984332689504618
2018-02-06,38.43961334228516,0.0409420640158097,0.041791746566859356
2018-02-07,37.6167221069336,-0.0216398369017822,-0.021407375459896905
2018-02-08,36.58164596557617,-0.0279020501406183,-0.027516383230176245
2018-02-09,37.02909469604492,0.0121573084991636,0.012231508961893178
2018-02-12,38.52058410644531,0.0394888037588936,0.0402788516069148
2018-02-13,38.906471252441406,0.0099678423589681,0.010017686775718682
2018-02-14,39.62381362915039,0.0182696988982349,0.018437610855391418
2018-02-15,40.95430374145508,0.0330266104572712,0.03357804285970789
2018-02-16,40.82172775268555,-0.0032424196307392,-0.003237168665019552
2018-02-20,40.68441390991211,-0.0033694141295909,-0.003363744023901716
2018-02-21,40.499759674072266,-0.0045490283664633,-0.004538697208437692
2018-02-22,40.83831024169922,0.0083245772383071,0.008359322878740194
2018-02-23,41.54854202270508,0.0172418136198731,0.017391311658156106
2018-02-26,42.37003326416016,0.0195789187461819,0.019771842800311967
2018-02-27,42.23273086547852,-0.003245816389994,-0.003240554422641484
2018-02-28,42.16879653930664,-0.0015150042982982,-0.0015138572586160803
2018-03-01,41.43017578125,-0.0176710301077391,-0.017515813081555476
2018-03-02,41.71662139892578,0.0068901451557578,0.006913936817169342
2018-03-05,41.86103820800781,0.0034558745361583,0.003461852955468414
2018-03-06,41.82553863525391,-0.0008483935231258,-0.000848033739094145
2018-03-07,41.43727111816406,-0.00932638071121,-0.00928302491154498
2018-03-08,41.889434814453125,0.0108528983453695,0.010912004678099052
2018-03-09,42.6091423034668,0.0170351955802656,0.017181121975065494
2018-03-12,43.02107238769531,0.0096212128704559,0.009667645532376756
2018-03-13,42.60678482055664,-0.0096765425016721,-0.009629875410943178
2018-03-14,42.24456024169922,-0.0085379148434771,-0.008501570357467014
2018-03-15,42.29426574707031,0.0011759214897399,0.0011766131565036364
2018-03-16,42.14512252807617,-0.0035325545846902,-0.0035263224543500282
2018-03-19,41.50118637084961,-0.0153969466658326,-0.015279019696705975
2018-03-20,41.48699188232422,-0.0003420845947602,-0.0003420260904966055
2018-03-21,40.547119140625,-0.0229151960658781,-0.02265463700923709
2018-03-22,39.97418975830078,-0.0142307436126144,-0.014129965197704708
2018-03-23,39.04851150512695,-0.0234292319113853,-0.02315689845800084
2018-03-26,40.902225494384766,0.046379716741266,0.04747207813579335
2018-03-27,39.85344696044922,-0.0259755747584502,-0.025641111730693722
2018-03-28,39.41311264038086,-0.0111103308085707,-0.011048839025275536
2018-03-29,39.72086715698242,0.0077781016184106,0.007808429631265712
2018-04-02,39.46044158935547,-0.0065779793437788,-0.006556391797734817
2018-04-03,39.86529541015625,0.0102074648488768,0.010259738728063184
2018-04-04,40.62759780883789,0.0189414284785924,0.019121955345837716
2018-04-05,40.909324645996094,0.0069104388493247,0.006934371027393471
2018-04-06,39.8629264831543,-0.0259112923833467,-0.02557847561397497
2018-04-09,40.25828552246094,0.0098691030346552,0.009917963235180904
2018-04-10,41.01585006713867,0.0186427448324129,0.018817605738701282
2018-04-11,40.8241081237793,-0.0046857867093561,-0.004674825538066751
2018-04-12,41.22656631469727,0.0098100697232987,0.009858346193325707
2018-04-13,41.366241455078125,0.0033822623859363,0.0033879886894936373
2018-04-16,41.624290466308594,0.0062187778988111,0.006238154643822158
2018-04-17,42.19721984863281,0.0136704362067308,0.013764303869346683
2018-04-18,42.102516174316406,-0.0022468329943842,-0.0022443107545028207
2018-04-19,40.909324645996094,-0.0287494819947581,-0.02834014773321769
2018-04-20,39.23317337036133,-0.0418353751496931,-0.04097235263938326
2018-04-23,39.11954498291016,-0.0029004345860028,-0.002896232389323017
2018-04-24,38.57503509521485,-0.0140169057422586,-0.013919126307148755
2018-04-25,38.74311447143555,0.00434774091019,0.00435720604805212
2018-04-26,38.87806701660156,0.0034772127544287,0.003483265271962299
2018-04-27,38.42824935913086,-0.0116374121828849,-0.011569959413841868
2018-04-30,39.12427520751953,0.0179502741190571,0.01811234859761557
