,price,log_yield,yield
2018-01-02,79.93672180175781,,
2018-01-03,80.30877685546875,0.0046435715870051,0.004654369672972392
2018-01-04,81.01559448242188,0.0087627448212054,0.008801250057950405
2018-01-05,82.02001953125,0.0123216974754558,0.012397922341309986
2018-01-08,82.10371398925781,0.0010198947278049,0.001020414997291219
2018-01-09,82.04789733886719,-0.0006800621948236,-0.000679831004940068
2018-01-10,81.67589569091797,-0.0045442666728995,-0.0045339571154737746
2018-01-11,81.91769409179688,0.0029560886496694,0.0029604621881824666
2018-01-12,83.33135223388672,0.0171098431166586,0.017257054873953015
2018-01-16,82.16881561279297,-0.014048997743001,-0.01395077110750409
2018-01-17,83.83358764648438,0.0200578764483671,0.020260387365644617
2018-01-18,83.79637908935547,-0.0004439368266251,-0.0004438383012523861
2018-01-19,83.70338439941406,-0.0011103860394705,-0.0011097697890053437
2018-01-22,85.20074462890625,0.0177307620155124,0.017888885141694066
2018-01-23,85.47045135498047,0.0031605444495617,0.003165544236132245
2018-01-24,85.39604949951172,-0.0008708770859008,-0.0008704979825102654
2018-01-25,85.87037658691406,0.0055390692850628,0.005554438292898478
2018-01-26,87.47932434082031,0.0185635619724554,0.018736936040774754
2018-01-29,87.34913635253906,-0.0014893228691588,-0.0014882143782231072
2018-01-30,86.2516860961914,-0.0126435446632533,-0.01256395085485873
2018-01-31,88.36288452148438,0.0241824184624103,0.02447718439890534
2018-02-01,87.66535949707031,-0.0079251904054677,-0.007893868881617028
2018-02-02,85.35887145996094,-0.0266624467596196,-0.026310141774830154
2018-02-05,81.84331512451172,-0.0420577577495877,-0.0411855999888453
2018-02-06,84.94034576416016,0.037142567354439,0.03784097253314811
2018-02-07,83.34069061279297,-0.0190122829133615,-0.018832689424277627
2018-02-08,79.0625,-0.0526982337287139,-0.05133375523212014
2018-02-09,82.01070404052734,0.0366110969027922,0.03728953727149209
2018-02-12,82.89424133300781,0.010715818680731,0.01077343869702485
2018-02-13,83.5452880859375,0.0078232626074362,0.007853944284431869
2018-02-14,84.85343933105469,0.0155366679952644,0.015657989517871673
2018-02-15,86.58209228515625,0.0201674825315006,0.02037222023914964
2018-02-16,85.96539306640625,-0.0071481985777387,-0.007122710972598312
2018-02-20,86.63816833496094,0.0077956523058747,0.007826117517254705
2018-02-21,85.48886108398438,-0.0133543736316062,-0.013265599597317212
2018-02-22,85.7131118774414,0.0026197235677815,0.0026231580420368328
2018-02-23,87.89027404785156,0.0250833393455459,0.0254005731762863
2018-02-26,89.16107177734375,0.0143553786275781,0.01445891190190518
2018-02-27,88.02110290527344,-0.0128679378058501,-0.012785499875069717
2018-02-28,87.61929321289062,-0.0045753756222609,-0.0045649245365083635
2018-03-01,86.75962829589844,-0.009859814179032,-0.009811365573372477
2018-03-02,86.94651794433594,0.0021517916849126,0.0021541084500742436
2018-03-05,87.49781799316406,0.00632066247688,0.006340680016433398
2018-03-06,87.19882202148438,-0.0034230339358928,-0.0034171820342199233
2018-03-07,87.7033920288086,0.0057697543719189,0.0057864314634881175
2018-03-08,88.23600006103516,0.0060544674261368,0.00607283275944015
2018-03-09,90.20758819580078,0.0220985061755988,0.02234448675599321
2018-03-12,90.42252349853516,0.0023798402399383,0.0023826743074855106
2018-03-13,88.21732330322266,-0.0246900370488012,-0.024387731175720018
2018-03-14,87.69404602050781,-0.0059493462891387,-0.00593168397227628
2018-03-15,88.00241088867188,0.0035102037937015,0.0035163717738824207
2018-03-16,88.39484405517578,0.0044494322098135,0.004459345630886791
2018-03-19,86.79703521728516,-0.0182411781748555,-0.018075814884556785
2018-03-20,87.02127075195312,0.0025801155731231,0.0025834469357925993
2018-03-21,86.41393280029297,-0.0070036581014089,-0.006979189644234496
2018-03-22,83.90034484863281,-0.0295191983730667,-0.0290877624730862
2018-03-23,81.46153259277344,-0.0294988076022345,-0.02906796462230654
2018-03-26,87.6286392211914,0.0729769601640854,0.07570575254515965
2018-03-27,83.60135650634766,-0.0470481301490697,-0.045958521673241104
2018-03-28,83.5265884399414,-0.0008947405105508,-0.0008943403496158853
2018-03-29,85.28327941894531,0.0208134088021924,0.021031518368154423
2018-04-02,82.71365356445312,-0.03059372848604,-0.03013047659517365
2018-04-03,83.82559204101562,0.0133536692317921,0.01344322767336159
2018-04-04,86.27375030517578,0.0287870287134694,0.02920537993888872
2018-04-05,86.3204574584961,0.0005412366390006,0.0005413831339786679
2018-04-06,84.3115005493164,-0.0235483407259138,-0.023273242152888507
2018-04-09,84.81607055664062,0.0059667563485548,0.005984592897016139
2018-04-10,86.78768157958984,0.0229796581852599,0.023245724660547307
2018-04-11,85.83460235595703,-0.0110424782532777,-0.010981733885341516
2018-04-12,87.44178009033203,0.0185509854542573,0.01872412395772538
2018-04-13,86.97455596923828,-0.0053575857541581,-0.005343259487753826
2018-04-16,87.99304962158203,0.0116422140299826,0.011710248370845111
2018-04-17,89.7684326171875,0.0199755538455596,0.020176400332078348
2018-04-18,90.11415100097656,0.0038438274845868,0.00385122446398678
2018-04-19,89.80583190917969,-0.0034272946074336,-0.0034214281372249022
2018-04-20,88.76863098144531,-0.0116165836332527,-0.011549371635277472
2018-04-23,89.09563446044922,0.003677004446342,0.0036837729205518865
2018-04-24,87.0119400024414,-0.0236649866766526,-0.023387166729620157
2018-04-25,86.25505828857422,-0.0087366496293554,-0.008698596007007176
2018-04-26,88.07715606689453,0.0209045028084302,0.021124532456106238
2018-04-27,89.53482055664062,0.0164144022924416,0.016549858724309807
2018-04-30,87.38568878173828,-0.0242960807787789,-0.024003306887098508
