,price,log_yield,rolling_std,yield
2018-01-02,40.56892776489258,,,
2018-01-03,40.561866760253906,-0.0001740647234586,,-0.0001740495750736093
2018-01-04,40.750274658203125,0.004634196857844,,0.004644951354503268
2018-01-05,41.2142333984375,0.0113210877872718,,0.011385413819314794
2018-01-08,41.06114959716797,-0.0037212583485234,,-0.0037143430472088568
2018-01-09,41.05644226074219,-0.0001146486720917,0.0058093871382019,-0.00011464210018385934
2018-01-10,41.047019958496094,-0.0002295226542895,0.0058155538778592,-0.00022949631598023768
2018-01-11,41.28017807006836,0.0056641970217705,0.0059325208367612,0.005680268916184783
2018-01-12,41.70643997192383,0.010273117781429,0.0055530472313847,0.010326067419862861
2018-01-16,41.4944953918457,-0.0050947753796371,0.0059497792279958,-0.0050818190241316286
2018-01-17,42.17981719970703,0.0163810639481086,0.0084592060943544,0.016515969200001424
2018-01-18,42.21750259399414,0.0008930472409276,0.0082855958466163,0.0008934461263472304
2018-01-19,42.02909851074219,-0.0044726883901704,0.0094337297060604,-0.004462700815437537
2018-01-22,41.68524169921875,-0.0082150500017614,0.009779235897366,-0.008181398690613184
2018-01-23,41.69465637207031,0.0002258259630762,0.0093814754089863,0.00022585146367859465
2018-01-24,41.03053665161133,-0.0160563901769832,0.0069555236579883,-0.015928173493806597
2018-01-25,40.298095703125,-0.0180123710499044,0.0076937546671977,-0.017851117929688742
2018-01-26,40.39229965209961,0.0023349493173206,0.0092149239223287,0.0023376774344030515
2018-01-29,39.55622863769531,-0.0209159946367558,0.0109039012014196,-0.020698772330503767
2018-01-30,39.32308197021485,-0.0059114955402349,0.0096727007012237,-0.005894057029953603
2018-01-31,39.43141555786133,0.0027511738218854,0.0111110207601531,0.0027549617735591614
2018-02-01,39.51384735107422,0.0020883285490063,0.0101557654640112,0.002090510625770703
2018-02-02,37.79933547973633,-0.0443596537533477,0.0198225355196463,-0.04339015272556801
2018-02-05,36.854942321777344,-0.0253017929338373,0.0203358768992469,-0.024984385200773174
2018-02-06,38.395172119140625,0.0409419959894296,0.0323345261658889,0.0417916756975405
2018-02-07,37.573238372802734,-0.0216396740447947,0.0327522109873668,-0.021407216089237013
2018-02-08,36.53936004638672,-0.0279020145666836,0.0328102246518927,-0.02751634863510688
2018-02-09,36.98628234863281,0.012157059552219,0.0300684874720197,0.012231256969983173
2018-02-12,38.47604751586914,0.039488808671672,0.0326328454387525,0.04027885671757425
2018-02-13,38.86149978637695,0.0099681325723635,0.0274962431051561,0.010017979896423501
2018-02-14,39.5780029296875,0.0182694445396134,0.0243844467127484,0.01843735180703754
2018-02-15,40.90696334838867,0.0330268192243532,0.0130510688977629,0.03357825863680253
2018-02-16,40.77452850341797,-0.0032427165081488,0.0172636120641688,-0.003237464581342997
2018-02-20,40.63738250732422,-0.0033691906779932,0.0153980096194194,-0.0033635213239131545
2018-02-21,40.45293426513672,-0.0045492129672282,0.0169184768532333,-0.004538880971338588
2018-02-22,40.79109573364258,0.0083246343485943,0.015971389056035,0.008359380466432365
2018-02-23,41.50049591064453,0.0172415610499229,0.0095868623739787,0.01739105469571567
2018-02-26,42.3210563659668,0.0195793718078018,0.0112338462686326,0.019772304819899666
2018-02-27,42.18389892578125,-0.0032461424339601,0.0112043281794278,-0.003240879409991404
2018-02-28,42.12004470825195,-0.0015148574784949,0.0104471568338392,-0.0015137106610663142
2018-03-01,41.382266998291016,-0.0176712930189761,0.0155267790195268,-0.01751607138765443
2018-03-02,41.66838836669922,0.0068903128855799,0.0137174609207176,0.006914105706679052
2018-03-05,41.81264877319336,0.0034561274041045,0.0094248937967916,0.0034621066988382854
2018-03-06,41.77716445922851,-0.0008490105366707,0.0094331486709875,-0.0008486502292005538
2018-03-07,41.38935852050781,-0.0093260782254896,0.0099767578498175,-0.009282725233761724
2018-03-08,41.84101486206055,0.0108532680246505,0.0077556876196566,0.010912378391391142
2018-03-09,42.55988693237305,0.0170351131178062,0.0102225364947067,0.01718103809581195
2018-03-12,42.97134017944336,0.0096211976582262,0.0104739872416873,0.009667630173080699
2018-03-13,42.557518005371094,-0.0096768602340366,0.0123761278460152,-0.009630190083534607
2018-03-14,42.19571304321289,-0.0085378965619129,0.0121720501619709,-0.00850155223132465
2018-03-15,42.24538040161133,0.0011763789903703,0.0115345433980963,0.0011770711955401136
2018-03-16,42.096397399902344,-0.0035328436404104,0.00788969254147,-0.0035266104907248907
2018-03-19,41.45319747924805,-0.015397145338565,0.006299395926492,-0.015279215333894314
2018-03-20,41.439022064208984,-0.0003420204032493,0.0067468629812717,-0.00034196192093882694
2018-03-21,40.50022888183594,-0.022915373336234,0.0104855586884013,-0.02265481026358207
2018-03-22,39.927974700927734,-0.0142304269500912,0.0092289704664475,-0.014129653009562482
2018-03-23,39.003379821777344,-0.0234288940782307,0.0093402419363207,-0.023156568447958548
2018-03-26,40.85493469238281,0.0463793098418128,0.0290921922301004,0.047471651920064195
2018-03-27,39.807373046875,-0.0259754667460476,0.0307390560191584,-0.02564100648784351
2018-03-28,39.36753463745117,-0.0111106649063937,0.0297477001032809,-0.011049169431650241
2018-03-29,39.67494201660156,0.0077783222911566,0.0297932216009904,0.00780865202714387
2018-04-02,39.41482925415039,-0.0065776824513645,0.0275270607288097,-0.006556096851819682
2018-04-03,39.81919860839844,0.0102070505786775,0.0147838371550458,0.010259320207646638
2018-04-04,40.58063507080078,0.0189418110430457,0.0124113315106141,0.019122345225746074
2018-04-05,40.86202621459961,0.006910193234776,0.0091765746873765,0.006934123709692708
